Start Logging2026-04-20 15:52:24 INFO     hypfile path from terminal: hyp.ctm
2026-04-20 15:52:24 INFO     reffile path from terminal: reference.stm
2026-04-20 15:52:24 INFO     Pipeline class' hypfile path: /input/hyp.ctm
2026-04-20 15:52:24 INFO     Pipeline class' reffile path: /input/reference.stm
2026-04-20 15:52:24 INFO     Skip reffile normalization: False
2026-04-20 15:52:24 INFO     Skip hypfile normalization: False
2026-04-20 15:52:24 INFO     Opened: /input/reference.stm
2026-04-20 15:52:24 INFO     Opened: /input/hyp.ctm
2026-04-20 15:52:24 INFO     	4 expectation(s) included in expectation_suite. result_format settings filtered.
2026-04-20 15:52:24 INFO     Changed encoding to utf_8
2026-04-20 15:52:24 INFO     	4 expectation(s) included in expectation_suite. Omitting 2 expectation(s) that failed when last run; set discard_failed_expectations=False to include them. result_format settings filtered.
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 1 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 1 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 2 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 3 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 6 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 4 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 1 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 1 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 2 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 0 symbols by their written form
2026-04-20 15:52:24 INFO     replaced 0 numbers by their written form
2026-04-20 15:52:24 INFO     replaced 2 symbols by their written form
